店名,評価,レビュー件数,口コミ件数,口コミテキスト,ジャンル
赤家 江古田店,3.08,110,25,"私に家系ラーメン食べ歩きシリーズにおいて現在、蒲田に本店のある「大輝家」グループ各店舗のみの訪問としておりますが、同じベクトルの一杯を食べ続けると、そのテイストが当たり前と感じ、美...詳細を見る | 本日もかっとばしてまいりましょう。コメントじゃんじゃんどうぞ。励みになります。

東京都練馬区6月20日前後にオープンしました赤家江古田店さんに御邪魔しました。

いわゆる...詳細を見る | 江古田から練馬付近のラーメン屋さんコンプリートシリーズにて訪問。最近、閉店やオープンを繰り返していて安定しないですね…

12時15分着。
入口から入って左側の券売機にて醤油...詳細を見る",ラーメン
元祖中華つけ麺大王 蒲田店,3.44,2923,229,"蒲田に単身赴任で住んで8年近くになりますが来たことなかったこちらのお店。正直、見た目や勝手な思い込みでよくあるチェーンの普通の店なんだろうと。

朝から10キロのウォーキングを...詳細を見る | 西口の店は初めてきました。
西口店と書いてないのでこちらが先にできたようです。

メニューを見ても良くわからないのでラーメンとチャーハンのセットはあるかと聞いたらあるとのこと...詳細を見る | つけ麺大王＠蒲田　ヘルシーな二次会
 
我々東京ホルモンズは　品川から南は泊りがけで飲むB食家集団である

 
つけ麺大王＠蒲田　ヘルシーな二次会の話
 
 
 
...詳細を見る",中華料理、つけ麺、ラーメン
担々香麺アカナツメ 大手町店,3.49,2999,177,"役員との打ち合わせで本社に来た際にランチで訪問。みずほ銀行の本店がある大手町タワーのB2階ootemori内にあります。
時間を少しずらして13時前に行き、券売機で担々香麺を購入...詳細を見る | 大手町駅直結。オーテモリ内にあるお店。いつか行こうと思っていました～担々麺専門店。こじんまりとした客席ですが、角にあるからか間口は大きい。昼時などに向けて、テイクアウトエリアなのだ...詳細を見る | ①最寄駅
　地下鉄大手町駅直結
　東京サンケイビル地下2階のレストラン街にある店舗

②混雑状況
　ランチは混雑必須

③雰囲気
　カウンターのみ

④決済情報...詳細を見る",担々麺、汁なし担々麺、ラーメン
ラーメン酒家 麺8 霞が関店,3.08,101,11,"こちらのビル、週末となるとすっかり閑散としているんだけど、ここだけは営業している。
今回祝日だったけど、やはりここだけ営業。もしかしたら他に高い店もやっているかもだけど、休出はこ...詳細を見る | 本日のサラメシ‼️
「ラーメン酒家 麺8」@霞ヶ関ビル
台風1号の影響で朝から蒸し暑く雨☔が降る。以前に来店するも看板メニュー「牛骨清湯めん」を食べなかった。ラヲタとしては素通...詳細を見る | 霞ダイニングの中庭に面してあった
味噌ラーメン屋「雪あかり」
https://tabelog.com/tokyo/A1308/A130802/13258562/dtlrvwls...詳細を見る",ラーメン
中華そば みた葉,3.36,792,54,"牛込柳町駅近くに中華そば屋さんが
最近できたので、寄ってみた。

外に自販機があって、入口付近に
説明が記載されている　が、
初訪問では、なかなかイメージが
つかめない...詳細を見る | この日はかなりの悪天候が予想されていたため、ランチは当初予定していた遠出を止め、近場で済ますことに。
市谷柳町交差点の南東側につい2ヶ月ほど前にオープンしたばかりの中華そば みた...詳細を見る | 最近、あっさり醤油のお店が増えている気がします。
とはいえ、まだ豚骨やこがし醤油などこってり濃い味のラーメン屋さんが多いですよね、、、

私は昔からあっさり醤油が好きです。と...詳細を見る",ラーメン
飄香,3.05,146,14,"■ 事前情報
来店時の評価 ★3.08
前回近くのラーメン屋に行ったときに見つけたこちらのお店。大泉学園通りか一本入った場所にあるが、何故かこのあたりは飲食店やスナックなどのお...詳細を見る | 22.3.19
休日出勤を終えてお昼に大泉学園。
お目当の和食屋さんはタッチの差で中休憩。
なので、行く途中でその存在を確認した
こちらの中華飄香に
当てずっぽうで入って...詳細を見る | 中国料理【瓢香（ヒョウカ）】
ブラックペッパー・酢・醤油
基本メニューは、ラーメン（醤油・味噌・激辛）、タンメン、酸辣湯麺、担々麺
その他、もやし、マーボ、かに玉、チャーシュ...詳細を見る",中華料理、ラーメン、食堂
日高屋 吉祥寺本町通店,3.02,317,48,"吉祥寺の駅南店ではタブレットオーダーになっているのに，こちらは相変わらずの口頭オーダー．これがこちらの店では，店員さんのタイミングでなかなかオーダーできないことも少なくない欠点なの...詳細を見る | 東京都武蔵野市吉祥寺本町。ご存知、低価格で高品質の中華料理＆ラーメン類を頂くことが出来る日高屋さんです。2024年５月現在、関東圏を中心に450店舗前後展開。最寄りは、中央総武線・...詳細を見る | 東京、吉祥寺にあります。

吉祥寺には北側と南側と2店舗ありますね。
南口の方はタブレットでの注文でしたが、こちらは昔ながらの席での口頭注文でした。

今日は平日山登り。...詳細を見る",ラーメン、中華料理、食堂
きりん寺 高田馬場店,3.05,1126,66,"半熟卵油そば（大盛）　¥980

4月7日 息子と都内に用事があって高田馬場へ
久しぶりの電車移動ー　絶好の花見日和もあって多くの人出(°▽°)

目当てのラーメン屋さん...詳細を見る | 高田馬場にある「キリン寺」さんに行ってきました！
キリン寺さんは大阪中心に出店してるらしく、東京では高田馬場店のみ。

お店は高田馬場駅から徒歩6分ぐらいのとこにあります。
...詳細を見る | シンプルな武蔵野系油そばをと私は常に求めているが、馬場でそれと言うと今だったらこちらの店だろうか。ということで寄ってみた。

　高田馬場で、ここは悪くないし、ここは良いけどち...詳細を見る",油そば・まぜそば
北海道しゃぶしゃぶ ポッケ 恵比寿店,3.37,4274,58,"北海道で行列のできる人気店が恵比寿に！

ここは恵比寿の中でも穴場なお気に入りのお店。
北海道で人気のお店が恵比寿にも出店。

お店は目立つ看板もなく、あまり知られていな...詳細を見る | 夜ごはん

■コース（飲み放題付き/90分）¥4,000

北海道に本店のあるラムしゃぶ専門店『北海道しゃぶしゃぶ ポッケ 恵比寿店』。恵比寿駅東口から歩いて6〜7分ほど。...詳細を見る | 寒くなってきたし、鍋が食べたいなぁと
検索していたら、こちらのラム肉のしゃぶしゃぶ屋さんが出てきました。
食べログ点数は3,17（口コミ17件）と点数はそんなに高くないけれど、...詳細を見る",しゃぶしゃぶ、ジンギスカン、ラーメン
博多ラーメン 和,3.64,19091,538,"【2024年53杯目】
久々に赤坂の「博多ラーメン和(かず)」へ昨年以来の再訪問をしてきた。
濃厚で美味しい豚骨ラーメンが食べられるので重宝しているお店である。
過去の備忘録： http://urx.space/1TvI
お店のTwitter：https://twitter.com/hakataramenkazu
お店のホームページ：https://www.ramen-kazu.com/...詳細を見る | 平日の1人ディナーで、博多ラーメン 和さんを訪問して来ました。

場所は赤坂駅から徒歩3分。赤坂見附駅からも徒歩5分程。

和さんは本格的なとんこつラーメンが頂ける人気店。
二日前に福岡から戻ったばかりですが、久々に訪問してしまいました。

18:20頃に到着。
明るくて入りやすいフ...詳細を見る | 私にとって東京で美味しい博多ラーメンというと
足立区の『田中商店』や東高円寺の『ばりこて』です。

今回新しい博多ラーメンのお店を開拓しようと
仕事帰りに東京メトロ千代田線...詳細を見る",ラーメン
